"kode_klasifikasi","klasifikasi","kode_fungsi","fungsi","kode_kegiatan","kegiatan","kode_transaksi","transaksi"
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.1","Beasiswa","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.10","Sosialisasi, Bimbingan teknis, Konsultasi dan Asistensi","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.2","Sertifikat keahlian","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.3","Perencanaan pembelajaran dan pengembangan program","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.4","Kurikulum dan silabus","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.5","Tenaga pengajar","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.6","Penyelengaraaan pembelajaran","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.7","Evaluasi pembelajaran","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.8","Monitoring dan evaluasi program pembelajaran","",""
"DL","Pendidikan dan Pelatihan","DL1","Pendidikan dan Pelatihan","DL1.9","Penerbitan surat keterangan pembelajaran","",""
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.1","Peraturan Perundang-undangan/Kebijakan eksternal","HK1.1.1","Undang-undang/peraturan pemerintah pengganti Undang-undang (PERPU)"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.1","Peraturan Perundang-undangan/Kebijakan eksternal","HK1.1.2","Peraturan Pemerintah"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.1","Peraturan Perundang-undangan/Kebijakan eksternal","HK1.1.3","Peraturan Presiden"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.1","Peraturan Perundang-undangan/Kebijakan eksternal","HK1.1.4","Keputusan Presiden"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.1","Peraturan Perundang-undangan/Kebijakan eksternal","HK1.1.5","Instruksi Presiden"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.2","Peraturan perundang-undangan/kebijakan internal","HK1.2.1","Peraturan Mahkamah Agung"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.2","Peraturan perundang-undangan/kebijakan internal","HK1.2.2","Instruksi"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.2","Peraturan perundang-undangan/kebijakan internal","HK1.2.3","Surat Edaran"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.2","Peraturan perundang-undangan/kebijakan internal","HK1.2.4","Maklumat Ketua Mahkamah Agung"
"HK","Hukum","HK1","Peraturan Perundang-undangan","HK1.2","Peraturan perundang-undangan/kebijakan internal","HK1.2.5","Keputusan"
